Node,Node type,Lat,Lon,Weight 1,Edge1,Edge1 Name,Type,Weight 2,Edge2,Edge2 Name,Type,Weight 3,Edge3,Edge3 Name,Type,Weight 4,Edge4,Edge4 Name,Type,Weight 5,Edge5,Edge5 Name,Type
BLK 196C (65241),Bus Stop,1.3991725,103.9076717,97,BLK 178 (65249),walking,walk,396,OPP PUNGGOL SEC/BLK 195E (65289),136/381,Bus,,,,,,,,,,,,
BLK 178 (65249),Bus Stop,1.3996375,103.9082498,255,COVE STN EXIT A (65159),136,Bus,362,MERIDIAN STN EXIT B (65161),381,Bus,,,,,,,,,,,,
PUNGGOL SEC/BLK 601B (65281),Bus Stop,1.4020117,103.9078331,37,OPP PUNGGOL SEC/BLK 195E (65289),walking,walk,353,BLK 178 (65249),136/381,Bus,298,PUNGGOL SEC SCH (65381),386/386A,Bus,387,OPP BLK 188 (65271),3/83/85,Bus,,,,
OPP PUNGGOL SEC/BLK 195E (65289),Bus Stop,1.4017375,103.9076298,284,BLK 298 (65229),3/6N/83/85/136/381/386,Bus,,,,,,,,,,,,,,,,
PUNGGOL SEC SCH (65381),Bus Stop,1.402068,103.909767,53,OPP PUNGGOL SEC SCH (65389),walking,walk,746,BLK 672A (65391),386/386A,Bus,,,,,,,,,,,,
OPP PUNGGOL SEC SCH (65389),Bus Stop,1.402257,103.910072,377,OPP PUNGGOL SEC/BLK 195E (65289),386,Bus,,,,,,,,,,,,,,,,
DAMAI STN EXIT A (65309),Bus Stop,1.4049439,103.909135,103,DAMAI STN EXIT B (65301),walking,walk,454,OASIS STN EXIT A (65319),50/666,Bus,,,,,,,,,,,,
DAMAI STN EXIT B (65301),Bus Stop,1.4043787,103.909634,715,PUNGGOL VIEW PR SCH (65351),50,Bus,,,,,,,,,,,,,,,,
BLK 672A (65391),Bus Stop,1.4058797,103.9125169,14,BLK 670A (65399),walking,walk,734,OASIS STN EXIT A (65319),386/386A,Bus,,,,,,,,,,,,
BLK 670A (65399),Bus Stop,1.4058047,103.9125955,484,OPP PUNGGOL SEC SCH (65389),386,Bus,,,,,,,,,,,,,,,,
MERIDIAN STN EXIT B (65161),Bus Stop,1.3972802,103.9086815,131,MERIDIAN STN EXIT A (65169),walking,walk,489,CORAL EDGE STN EXIT B (65171),3/6N/62/62A/83/381,Bus,,,,,,,,,,,,
MERIDIAN STN EXIT A (65169),Bus Stop,1.3964953,103.9092356,368,COVE STN EXIT A (65159),3/62/83/666,Bus,312,BLK 196C (65241),381,Bus,,,,,,,,,,,,
GREENDALE PR SCH (65429),Bus Stop,1.3967872,103.9120228,339,CORAL EDGE STN EXIT B (65171),386,Bus,,,,,,,,,,,,,,,,
OPP BLK 188 (65271),Bus Stop,1.3999554,103.9106429,108,BET BLKS 187/188 (65279),walking,walk,568,BLK 649 (65261),3/83/85,Bus,,,,,,,,,,,,
BET BLKS 187/188 (65279),Bus Stop,1.3992973,103.911034,469,OPP PUNGGOL SEC/BLK 195E (65289),3/6N/83/85,Bus,,,,,,,,,,,,,,,,
HORIZON PR SCH (65411),Bus Stop,1.3994478,103.9138491,11,OPP HORIZON PR SCH (65419),walking,walk,659,BLK 661A (65379),386,Bus,,,,,,,,,,,,
OPP HORIZON PR SCH (65419),Bus Stop,1.3994621,103.9139538,367,GREENDALE PR SCH (65429),386,Bus,,,,,,,,,,,,,,,,
OASIS STN EXIT A (65319),Bus Stop,1.4025781,103.912445,104,OASIS STN EXIT B/BLK 617D (65311),walking,walk,780,BLK 682A (65371),386/386A,Bus,506,KADALOOR STN EXIT A (65329),50/666,Bus,,,,,,,,
OASIS STN EXIT B/BLK 617D (65311),Bus Stop,1.402015,103.9128569,816,BLK 670A (65399),386,Bus,444,DAMAI STN EXIT B (65301),50/666,Bus,,,,,,,,,,,,
BLK 682A (65371),Bus Stop,1.4028867,103.9162676,12,BLK 661A (65379),walking,walk,650,OPP HORIZON PR SCH (65419),386/386A,Bus,,,,,,,,,,,,
BLK 661A (65379),Bus Stop,1.4028078,103.9163376,544,OASIS STN EXIT B/BLK 617D (65311),386,Bus,,,,,,,,,,,,,,,,
CORAL EDGE STN EXIT B (65171),Bus Stop,1.3945204,103.912053,31,CORAL EDGE STN EXIT A (65179),walking,walk,487,AFT PUNGGOL FIELD (65529),62/62A,Bus,595,RIVIERA STN EXIT B (65231),3/6N/83/381/386/666,Bus,,,,,,,,
CORAL EDGE STN EXIT A (65179),Bus Stop,1.3942958,103.9119024,390,MERIDIAN STN EXIT A (65169),3/62/83/381/666,Bus,,,,,,,,,,,,,,,,
RIVIERA STN EXIT B (65231),Bus Stop,1.3942825,103.9157653,34,RIVIERA STN EXIT A (65239),walking,walk,405,BLK 162B (65269),3/6N/83/85/386,Bus,345,AFT PUNGGOL CTRL (65181),50/381/666,Bus,,,,,,,,
RIVIERA STN EXIT A (65239),Bus Stop,1.3941046,103.9160348,362,AFT PUNGGOL FIELD (65529),50/85,Bus,633,CORAL EDGE STN EXIT A (65179),3/83/381/666,Bus,,,,,,,,,,,,
BLK 649 (65261),Bus Stop,1.3969516,103.9147884,31,BLK 162B (65269),walking,walk,446,RIVIERA STN EXIT A (65239),3/83/85,Bus,,,,,,,,,,,,
BLK 162B (65269),Bus Stop,1.3967102,103.9146722,497,BET BLKS 187/188 (65279),3/6N/83/85,Bus,436,HORIZON PR SCH (65411),386,Bus,,,,,,,,,,,,
AFT PUNGGOL CTRL (65181),Bus Stop,1.3968139,103.9175469,56,BEF PUNGGOL CTRL (65189),walking,walk,447,KADALOOR STN EXIT B (65321),50/666,Bus,280,WATERWAY PR SCH (65561),391,Bus,,,,,,,,
BEF PUNGGOL CTRL (65189),Bus Stop,1.3968269,103.9179331,368,RIVIERA STN EXIT A (65239),50/381/666,Bus,,,,,,,,,,,,,,,,
KADALOOR STN EXIT A (65329),Bus Stop,1.399888,103.916124,86,KADALOOR STN EXIT B (65321),walking,walk,517,BEF PUNGGOL CTRL (65189),50/666,Bus,,,,,,,,,,,,
KADALOOR STN EXIT B (65321),Bus Stop,1.399427,103.916593,504,OASIS STN EXIT B/BLK 617D (65311),50/666,Bus,,,,,,,,,,,,,,,,
WATERWAY PR SCH (65561),Bus Stop,1.3988123,103.9190826,34,OPP WATERWAY PR SCH (65569),walking,walk,474,OPP WATERWAY PR SCH (65569),381,Bus,,,,,,,,,,,,
OPP WATERWAY PR SCH (65569),Bus Stop,1.3986339,103.9191992,247,BEF PUNGGOL CTRL (65189),381,Bus,,,,,,,,,,,,,,,,
WATERWOODS (65521),Bus Stop,1.3903159,103.9129424,210,AFT PUNGGOL FIELD (65529),walking,walk,621,CORAL EDGE STN EXIT A (65179),62,Bus,545,RIVIERA STN EXIT B (65231),50/85,Bus,,,,,,,,
AFT PUNGGOL FIELD (65529),Bus Stop,1.3915276,103.9140534,,,,,,,,,,,,,,,,,,,,
PUNGGOL MRT STATION[NE17],LRT,1.4052585,103.9023302,1006,SOO TECK LRT STATION[PW7],WEST LOOP (CLOCKWISE),LRT,562,SAM KEE LRT STATION[PW1],WEST LOOP (ANTI CLOCKWISE),LRT,163,PUNGGOL TEMP INT (65009),walking,walk,919,COVE LRT STATION[PE1],EAST LOOP (ANTI CLOCKWISE),LRT,1008,DAMAI LRT STATION[PE7],EAST LOOP (CLOCKWISE),LRT
SOO TECK LRT STATION[PW7],LRT,1.4053014,103.8972748,381,SUMANG LRT STATION[PW6],WEST LOOP (CLOCKWISE),LRT,1006,PUNGGOL MRT STATION[NE17],WEST LOOP (ANTI CLOCKWISE),LRT,104,SOO TECK STN (65141),walking,walk,126,SOO TECK STN (65149),walking,walk,,,,
SUMANG LRT STATION[PW6],LRT,1.4085322,103.8985342,429,NIBONG LRT STATION[PW5],WEST LOOP (CLOCKWISE),LRT,381,SOO TECK LRT STATION[PW7],WEST LOOP (ANTI CLOCKWISE),LRT,,,,,,,,,,,,
NIBONG LRT STATION[PW5],LRT,1.4118877,103.9003304,494,SAMUDERA LRT STATION[PW4],WEST LOOP (CLOCKWISE),LRT,429,SUMANG LRT STATION[PW6],WEST LOOP (ANTI CLOCKWISE),LRT,66,NIBONG STN EXIT B (65611),walking,walk,65,NIBONG STN EXIT A (65619),walking,walk,,,,
SAMUDERA LRT STATION[PW4],LRT,1.4159537,103.9021398,585,PUNGGOL POINT LRT STATION[PW3],WEST LOOP (CLOCKWISE),LRT,494,NIBONG LRT STATION[PW5],WEST LOOP (ANTI CLOCKWISE),LRT,56,SAMUDERA STN EXIT B (65621),walking,walk,94,SAMUDERA STN EXIT A (65629),walking,walk,,,,
PUNGGOL POINT LRT STATION[PW3],LRT,1.4168814,103.9066298,944,SAM KEE LRT STATION[PW1],WEST LOOP (CLOCKWISE),LRT,585,SAMUDERA LRT STATION[PW4],WEST LOOP (ANTI CLOCKWISE),LRT,156,AFT PUNGGOL PT STN (65631),walking,walk,177,BEF PUNGGOL PT STN (65639),walking,walk,,,,
SAM KEE LRT STATION[PW1],LRT,1.4097076,103.904874,562,PUNGGOL MRT STATION[NE17],WEST LOOP (CLOCKWISE),LRT,944,PUNGGOL POINT LRT STATION[PW3],WEST LOOP (ANTI CLOCKWISE),LRT,235,BEF PUNGGOL DR (65481),walking,walk,300,AFT PUNGGOL DR (65489),walking,walk,,,,
COVE LRT STATION[PE1],LRT,1.399474,103.905811,919,PUNGGOL MRT STATION[NE17],EAST LOOP (CLOCKWISE),LRT,412,MERIDIAN LRT STATION[PE2],EAST LOOP (ANTI CLOCKWISE),LRT,80,COVE STN EXIT B (65151),walking,walk,113,COVE STN EXIT A (65159),walking,walk,,,,
MERIDIAN LRT STATION[PE2],LRT,1.396971,103.908864,412,COVE LRT STATION[PE1],EAST LOOP (CLOCKWISE),LRT,527,CORAL EDGE LRT STATION[PE3],EAST LOOP (ANTI CLOCKWISE),LRT,47,MERIDIAN STN EXIT B (65161),walking,walk,55,MERIDIAN STN EXIT A (65169),walking,walk,,,,
CORAL EDGE LRT STATION[PE3],LRT,1.393835,103.912638,527,MERIDIAN LRT STATION[PE2],EAST LOOP (CLOCKWISE),LRT,555,RIVIERA LRT STATION[PE4],EAST LOOP (ANTI CLOCKWISE),LRT,81,CORAL EDGE STN EXIT B (65171),walking,walk,92,CORAL EDGE STN EXIT A (65179),walking,walk,,,,
RIVIERA LRT STATION[PE4],LRT,1.394466,103.91605,555,CORAL EDGE LRT STATION[PE3],EAST LOOP (CLOCKWISE),LRT,733,KADALOOR LRT STATION[PE5],EAST LOOP (ANTI CLOCKWISE),LRT,50,RIVIERA STN EXIT B (65231),walking,walk,50,RIVIERA STN EXIT A (65239),walking,walk,,,,
KADALOOR LRT STATION[PE5],LRT,1.399542,103.916557,733,RIVIERA LRT STATION[PE4],EAST LOOP (CLOCKWISE),LRT,511,OASIS LRT STATION[PE6],EAST LOOP (ANTI CLOCKWISE),LRT,46,KADALOOR STN EXIT A (65329),walking,walk,28,KADALOOR STN EXIT B (65321),walking,walk,,,,
OASIS LRT STATION[PE6],LRT,1.402299,103.912735,511,KADALOOR LRT STATION[PE5],EAST LOOP (CLOCKWISE),LRT,536,DAMAI LRT STATION[PE7],EAST LOOP (ANTI CLOCKWISE),LRT,38,OASIS STN EXIT A (65319),walking,walk,33,OASIS STN EXIT B/BLK 617D (65311),walking,walk,,,,
DAMAI LRT STATION[PE7],LRT,1.405262,103.908617,536,OASIS LRT STATION[PE6],EAST LOOP (CLOCKWISE),LRT,1008,PUNGGOL MRT STATION[NE17],EAST LOOP (ANTI CLOCKWISE),LRT,63,DAMAI STN EXIT A (65309),walking,walk,151,DAMAI STN EXIT B (65301),walking,walk,,,,
194 PUNGGOL ROAD MULTI STOREY CAR PARK SINGAPORE 820194,HDB,1.4020243,103.9065241,313,COVE LRT STATION[PE1],walking,walk,110,OPP BLK 296 (65089),walking,walk,126,OPP PUNGGOL SEC/BLK 195E (65289),walking,walk,145,PUNGGOL SEC/BLK 601B (65281),walking,walk,,,,
195 PUNGGOL ROAD THE PERIWINKLE SINGAPORE 820195,HDB,1.4014705,103.9067023,258,COVE LRT STATION[PE1],walking,walk,100,OPP BLK 296 (65089),walking,walk,107,OPP PUNGGOL SEC/BLK 195E (65289),walking,walk,139,PUNGGOL SEC/BLK 601B (65281),walking,walk,,,,
305 PUNGGOL ROAD TREELODGE@PUNGGOL SINGAPORE 820305,HDB,1.4059045,103.9062858,263,DAMAI LRT STATION[PE7],walking,walk,173,PUNGGOL VIEW PR SCH (65351),walking,walk,184,BLK 604A (65099),walking,walk,,,,,,,,
603 PUNGGOL ROAD PUNGGOL LODGE SINGAPORE 820603,HDB,1.4038676,103.9079914,166,DAMAI LRT STATION[PE7],walking,walk,118,BLK 604A (65099),walking,walk,160,BLK 301A (65091),walking,walk,174,DAMAI STN EXIT A (65309),walking,walk,,,,
604 PUNGGOL ROAD PUNGGOL LODGE SINGAPORE 820604,HDB,1.4041556,103.9076825,156,DAMAI LRT STATION[PE7],walking,walk,72,BLK 604A (65099),walking,walk,126,BLK 301A (65091),walking,walk,183,DAMAI STN EXIT A (65309),walking,walk,,,,
195A PUNGGOL ROAD THE PERIWINKLE SINGAPORE 821195,HDB,1.4013869,103.9060812,236,COVE LRT STATION[PE1],walking,walk,31,OPP BLK 296 (65089),walking,walk,100,OPP BLK 199C (65081),walking,walk,176,OPP PUNGGOL SEC/BLK 195E (65289),walking,walk,,,,
305A PUNGGOL ROAD TREELODGE@PUNGGOL SINGAPORE 821305,HDB,1.4050791,103.906706,207,DAMAI LRT STATION[PE7],walking,walk,81,BLK 604A (65099),walking,walk,123,BLK 301A (65091),walking,walk,,,,,,,,
603A PUNGGOL ROAD PUNGGOL LODGE SINGAPORE 821603,HDB,1.4035301,103.9084634,191,DAMAI LRT STATION[PE7],walking,walk,160,DAMAI STN EXIT B (65301),walking,walk,174,DAMAI STN EXIT A (65309),walking,walk,182,BLK 604A (65099),walking,walk,,,,
604A PUNGGOL ROAD PUNGGOL LODGE SINGAPORE 821604,HDB,1.4043097,103.9074126,165,DAMAI LRT STATION[PE7],walking,walk,37,BLK 604A (65099),walking,walk,102,BLK 301A (65091),walking,walk,204,DAMAI STN EXIT A (65309),walking,walk,,,,
195B PUNGGOL ROAD THE PERIWINKLE SINGAPORE 822195,HDB,1.401372,103.9064857,241,COVE LRT STATION[PE1],walking,walk,75,OPP BLK 296 (65089),walking,walk,133,OPP PUNGGOL SEC/BLK 195E (65289),walking,walk,139,OPP BLK 199C (65081),walking,walk,,,,
305B PUNGGOL ROAD TREELODGE@PUNGGOL SINGAPORE 822305,HDB,1.4053519,103.9062507,257,DAMAI LRT STATION[PE7],walking,walk,137,BLK 604A (65099),walking,walk,156,BLK 301A (65091),walking,walk,179,PUNGGOL VIEW PR SCH (65351),walking,walk,,,,
603B PUNGGOL ROAD PUNGGOL LODGE SINGAPORE 822603,HDB,1.4031429,103.9083163,236,DAMAI LRT STATION[PE7],walking,walk,136,PUNGGOL SEC/BLK 601B (65281),walking,walk,173,OPP PUNGGOL SEC/BLK 195E (65289),walking,walk,198,BLK 604A (65099),walking,walk,,,,
604B PUNGGOL ROAD PUNGGOL LODGE SINGAPORE 822604,HDB,1.4038893,103.9072069,213,DAMAI LRT STATION[PE7],walking,walk,65,BLK 604A (65099),walking,walk,73,BLK 301A (65091),walking,walk,197,BLK 298 (65229),walking,walk,,,,
195C PUNGGOL ROAD THE PERIWINKLE SINGAPORE 823195,HDB,1.4010921,103.9068312,224,COVE LRT STATION[PE1],walking,walk,114,OPP PUNGGOL SEC/BLK 195E (65289),walking,walk,117,OPP BLK 296 (65089),walking,walk,151,PUNGGOL SEC/BLK 601B (65281),walking,walk,,,,
305C PUNGGOL ROAD TREELODGE@PUNGGOL SINGAPORE 823305,HDB,1.4054218,103.9069069,185,DAMAI LRT STATION[PE7],walking,walk,108,BLK 604A (65099),walking,walk,165,BLK 301A (65091),walking,walk,,,,,,,,
603C PUNGGOL ROAD PUNGGOL LODGE SINGAPORE 823603,HDB,1.4033332,103.9079705,223,DAMAI LRT STATION[PE7],walking,walk,147,PUNGGOL SEC/BLK 601B (65281),walking,walk,158,BLK 604A (65099),walking,walk,172,BLK 301A (65091),walking,walk,,,,
604C PUNGGOL ROAD PUNGGOL LODGE SINGAPORE 823604,HDB,1.4036654,103.9075323,210,DAMAI LRT STATION[PE7],walking,walk,100,BLK 604A (65099),walking,walk,113,BLK 301A (65091),walking,walk,186,PUNGGOL SEC/BLK 601B (65281),walking,walk,,,,
195D PUNGGOL ROAD THE PERIWINKLE SINGAPORE 824195,HDB,1.4013679,103.907096,265,COVE LRT STATION[PE1],walking,walk,72,OPP PUNGGOL SEC/BLK 195E (65289),walking,walk,108,PUNGGOL SEC/BLK 601B (65281),walking,walk,143,OPP BLK 296 (65089),walking,walk,,,,
195E PUNGGOL ROAD THE PERIWINKLE SINGAPORE 825195,HDB,1.401718,103.9071773,303,COVE LRT STATION[PE1],walking,walk,50,OPP PUNGGOL SEC/BLK 195E (65289),walking,walk,79,PUNGGOL SEC/BLK 601B (65281),walking,walk,158,OPP BLK 296 (65089),walking,walk,,,,
101 PUNGGOL FIELD MULTI STOREY CAR PARK SINGAPORE 820101,HDB,1.3984817,103.9058081,88,COVE LRT STATION[PE1],walking,walk,94,COVE STN EXIT A (65159),walking,walk,99,COVE STN EXIT B (65151),walking,walk,128,BLK 102C (65079),walking,walk,,,,
102 PUNGGOL FIELD SINGAPORE 820102,HDB,1.3982806,103.9056544,114,COVE LRT STATION[PE1],walking,walk,115,COVE STN EXIT A (65159),walking,walk,124,BLK 102C (65079),walking,walk,125,COVE STN EXIT B (65151),walking,walk,,,,
