Node,Node type,Lat,Lon,Weight 1,Edge1,Edge1 Name,Type,Weight 2,Edge2,Edge2 Name,Type,Weight 3,Edge3,Edge3 Name,Type,Weight 4,Edge4,Edge4 Name,Type,Weight 5,Edge5,Edge5 Name,Type
269B PUNGGOL FIELD PUNGGOL SAPPHIRE SINGAPORE 822269,HDB,1.4034439,103.8986665,254,SOO TECK LRT STATION[PW7],walking,walk,66,OPP BLK 268D (65331),walking,walk,77,BLK 268C (65339),walking,walk,207,SOO TECK STN (65141),walking,walk,,,,
270B PUNGGOL FIELD PUNGGOL SAPPHIRE SINGAPORE 822270,HDB,1.404108,103.8990319,232,SOO TECK LRT STATION[PW7],walking,walk,149,OPP BLK 268D (65331),walking,walk,154,BLK 268C (65339),walking,walk,213,SOO TECK STN (65141),walking,walk,,,,
102C PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 823102,HDB,1.3987613,103.904939,28,BLK 102C (65079),walking,walk,96,OPP BLK 103A (65071),walking,walk,,,,,,,,,,,,
199C PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 823199,HDB,1.4006471,103.9060066,80,OPP BLK 296 (65089),walking,walk,83,OPP BLK 199C (65081),walking,walk,,,,,,,,,,,,
201C PUNGGOL FIELD SINGAPORE 823201,HDB,1.3993315,103.903712,110,OPP BLK 103A (65071),walking,walk,123,BLK 102C (65079),walking,walk,129,AFT PUNGGOL RD (65209),walking,walk,,,,,,,,
204C PUNGGOL FIELD SINGAPORE 823204,HDB,1.3980332,103.9030726,126,OPP BLK 103A (65071),walking,walk,211,BLK 102C (65079),walking,walk,288,AFT PUNGGOL RD (65209),walking,walk,,,,,,,,
258C PUNGGOL FIELD PUNGGOL TOPAZ SINGAPORE 823258,HDB,1.4041419,103.8963636,163,SOO TECK LRT STATION[PW7],walking,walk,70,SOO TECK STN (65149),walking,walk,74,BLK 258A (65579),walking,walk,99,SOO TECK STN (65141),walking,walk,,,,
259C PUNGGOL FIELD PUNGGOL TOPAZ SINGAPORE 823259,HDB,1.4045341,103.8956655,199,SOO TECK LRT STATION[PW7],walking,walk,77,BLK 259 CP (65499),walking,walk,78,OPP BLK 259 CP (65491),walking,walk,115,BLK 258A (65579),walking,walk,,,,
267C PUNGGOL FIELD PUNGGOL SAPPHIRE SINGAPORE 823267,HDB,1.4042908,103.8983193,158,SOO TECK LRT STATION[PW7],walking,walk,131,SOO TECK STN (65141),walking,walk,132,BLK 268C (65339),walking,walk,155,SOO TECK STN (65149),walking,walk,,,,
268C PUNGGOL FIELD PUNGGOL SAPPHIRE SINGAPORE 823268,HDB,1.4034741,103.8979384,213,SOO TECK LRT STATION[PW7],walking,walk,39,BLK 268C (65339),walking,walk,93,OPP BLK 268D (65331),walking,walk,147,SOO TECK STN (65141),walking,walk,,,,
269C PUNGGOL FIELD PUNGGOL SAPPHIRE SINGAPORE 823269,HDB,1.403652,103.8985316,227,SOO TECK LRT STATION[PW7],walking,walk,79,BLK 268C (65339),walking,walk,87,OPP BLK 268D (65331),walking,walk,181,SOO TECK STN (65141),walking,walk,,,,
270C PUNGGOL FIELD PUNGGOL SAPPHIRE SINGAPORE 823270,HDB,1.4043155,103.8988518,203,SOO TECK LRT STATION[PW7],walking,walk,159,BLK 268C (65339),walking,walk,165,OPP BLK 268D (65331),walking,walk,189,SOO TECK STN (65141),walking,walk,,,,
101D PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 824101,HDB,1.3984848,103.9061439,163,BLK 102C (65079),walking,walk,,,,,,,,,,,,,,,,
102D PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 824102,HDB,1.3984807,103.9052498,75,BLK 102C (65079),walking,walk,123,OPP BLK 103A (65071),walking,walk,,,,,,,,,,,,
199D PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 824199,HDB,1.4004554,103.9062079,108,OPP BLK 296 (65089),walking,walk,112,OPP BLK 199C (65081),walking,walk,,,,,,,,,,,,
201D PUNGGOL FIELD SINGAPORE 824201,HDB,1.3996843,103.9033781,109,AFT PUNGGOL RD (65209),walking,walk,136,OPP BLK 201A (65201),walking,walk,162,OPP BLK 103A (65071),walking,walk,,,,,,,,
204D PUNGGOL FIELD SINGAPORE 824204,HDB,1.3983112,103.9025511,176,OPP BLK 103A (65071),walking,walk,253,BLK 102C (65079),walking,walk,283,OPP BLK 201A (65201),walking,walk,,,,,,,,
268D PUNGGOL FIELD PUNGGOL SAPPHIRE SINGAPORE 824268,HDB,1.4033138,103.8983589,248,SOO TECK LRT STATION[PW7],walking,walk,40,BLK 268C (65339),walking,walk,52,OPP BLK 268D (65331),walking,walk,191,SOO TECK STN (65141),walking,walk,,,,
292 PUNGGOL CENTRAL MULTI STOREY CAR PARK SINGAPORE 820292,HDB,1.4024273,103.9050584,103,BLK 298 (65229),walking,walk,146,OPP BLK 296 (65089),walking,walk,169,OPP BLK 199C (65081),walking,walk,,,,,,,,
293 PUNGGOL CENTRAL PUNGGOL GROVE SINGAPORE 820293,HDB,1.4030756,103.9049453,359,PUNGGOL MRT STATION[NE17],walking,walk,70,BLK 298 (65229),walking,walk,107,BLK 303D (65221),walking,walk,188,AFT PUNGGOL CTRL (65219),walking,walk,,,,
294 PUNGGOL CENTRAL PUNGGOL GROVE SINGAPORE 820294,HDB,1.4025718,103.9046355,354,PUNGGOL MRT STATION[NE17],walking,walk,125,BLK 298 (65229),walking,walk,163,BLK 303D (65221),walking,walk,171,AFT PUNGGOL CTRL (65219),walking,walk,,,,
295 PUNGGOL CENTRAL PUNGGOL GROVE SINGAPORE 820295,HDB,1.4018862,103.9049173,115,OPP BLK 199C (65081),walking,walk,115,OPP BLK 296 (65089),walking,walk,163,BLK 298 (65229),walking,walk,,,,,,,,
296 PUNGGOL CENTRAL PUNGGOL GROVE SINGAPORE 820296,HDB,1.4015882,103.9052652,66,OPP BLK 296 (65089),walking,walk,74,OPP BLK 199C (65081),walking,walk,182,BLK 298 (65229),walking,walk,,,,,,,,
297 PUNGGOL CENTRAL PUNGGOL GROVE SINGAPORE 820297,HDB,1.4021912,103.9054519,102,OPP BLK 296 (65089),walking,walk,113,BLK 298 (65229),walking,walk,142,OPP BLK 199C (65081),walking,walk,,,,,,,,
298 PUNGGOL CENTRAL PUNGGOL GROVE SINGAPORE 820298,HDB,1.4026172,103.9056027,65,BLK 298 (65229),walking,walk,143,OPP BLK 296 (65089),walking,walk,180,BLK 303D (65221),walking,walk,,,,,,,,
299 PUNGGOL CENTRAL PUNGGOL GROVE SINGAPORE 820299,HDB,1.4027062,103.9053082,62,BLK 298 (65229),walking,walk,157,BLK 303D (65221),walking,walk,161,OPP BLK 296 (65089),walking,walk,,,,,,,,
301 PUNGGOL CENTRAL CORALINUS SINGAPORE 820301,HDB,1.4037194,103.906138,54,BLK 301A (65091),walking,walk,85,BLK 298 (65229),walking,walk,136,BLK 604A (65099),walking,walk,,,,,,,,
303 PUNGGOL CENTRAL CORALINUS SINGAPORE 820303,HDB,1.4040238,103.9058046,83,BLK 301A (65091),walking,walk,95,BLK 298 (65229),walking,walk,110,BLK 303D (65221),walking,walk,,,,,,,,
601 PUNGGOL CENTRAL PUNGGOL VISTA SINGAPORE 820601,HDB,1.402674,103.9074161,173,BLK 301A (65091),walking,walk,,,,,,,,,,,,,,,,
602 PUNGGOL CENTRAL PUNGGOL VISTA SINGAPORE 820602,HDB,1.4031975,103.9073558,124,BLK 301A (65091),walking,walk,143,BLK 604A (65099),walking,walk,,,,,,,,,,,,
293A PUNGGOL CENTRAL SINGAPORE 821293,HDB,1.4034617,103.9048353,333,PUNGGOL MRT STATION[NE17],walking,walk,63,BLK 303D (65221),walking,walk,86,BLK 298 (65229),walking,walk,176,AFT PUNGGOL CTRL (65219),walking,walk,,,,
295A PUNGGOL CENTRAL PUNGGOL GROVE SINGAPORE 821295,HDB,1.4019225,103.9044827,144,OPP BLK 199C (65081),walking,walk,160,OPP BLK 296 (65089),walking,walk,171,AFT PUNGGOL RD (65209),walking,walk,,,,,,,,
296A PUNGGOL CENTRAL SINGAPORE 821296,HDB,1.4013259,103.9053783,45,OPP BLK 199C (65081),walking,walk,47,OPP BLK 296 (65089),walking,walk,183,AFT PUNGGOL RD (65209),walking,walk,,,,,,,,
301A PUNGGOL CENTRAL CORALINUS SINGAPORE 821301,HDB,1.4041722,103.9061861,46,BLK 301A (65091),walking,walk,108,BLK 604A (65099),walking,walk,127,BLK 298 (65229),walking,walk,,,,,,,,
303A PUNGGOL CENTRAL CORALINUS SINGAPORE 821303,HDB,1.4037779,103.9057622,67,BLK 298 (65229),walking,walk,91,BLK 301A (65091),walking,walk,109,BLK 303D (65221),walking,walk,,,,,,,,
601A PUNGGOL CENTRAL PUNGGOL VISTA SINGAPORE 821601,HDB,1.4024685,103.9075822,203,BLK 301A (65091),walking,walk,,,,,,,,,,,,,,,,
602A PUNGGOL CENTRAL PUNGGOL VISTA SINGAPORE 821602,HDB,1.4034805,103.9071174,83,BLK 301A (65091),walking,walk,109,BLK 604A (65099),walking,walk,174,BLK 298 (65229),walking,walk,,,,,,,,
301B PUNGGOL CENTRAL CORALINUS SINGAPORE 822301,HDB,1.4042654,103.9058947,80,BLK 301A (65091),walking,walk,123,BLK 298 (65229),walking,walk,123,BLK 303D (65221),walking,walk,,,,,,,,
303B PUNGGOL CENTRAL CORALINUS SINGAPORE 822303,HDB,1.4039169,103.9055313,79,BLK 298 (65229),walking,walk,81,BLK 303D (65221),walking,walk,114,BLK 301A (65091),walking,walk,,,,,,,,
602B PUNGGOL CENTRAL PUNGGOL VISTA SINGAPORE 822602,HDB,1.4030128,103.9068635,112,BLK 301A (65091),walking,walk,145,BLK 298 (65229),walking,walk,,,,,,,,,,,,
301C PUNGGOL CENTRAL CORALINUS SINGAPORE 823301,HDB,1.4044016,103.9056638,103,BLK 303D (65221),walking,walk,109,BLK 301A (65091),walking,walk,133,BLK 298 (65229),walking,walk,,,,,,,,
303C PUNGGOL CENTRAL CORALINUS SINGAPORE 823303,HDB,1.4040521,103.9053002,54,BLK 303D (65221),walking,walk,99,BLK 298 (65229),walking,walk,139,BLK 301A (65091),walking,walk,,,,,,,,
602C PUNGGOL CENTRAL PUNGGOL VISTA SINGAPORE 823602,HDB,1.4027133,103.9072462,160,BLK 301A (65091),walking,walk,,,,,,,,,,,,,,,,
601D PUNGGOL CENTRAL PUNGGOL VISTA SINGAPORE 824601,HDB,1.402964,103.9078474,182,BLK 301A (65091),walking,walk,,,,,,,,,,,,,,,,
207 PUNGGOL PLACE PUNGGOL SAILS SINGAPORE 820207,HDB,1.4007357,103.9008958,411,PUNGGOL MRT STATION[NE17],walking,walk,134,OPP BLK 272C (65341),walking,walk,165,BLK 272C (65349),walking,walk,228,OPP BLK 201A (65201),walking,walk,,,,
208 PUNGGOL PLACE PUNGGOL SAILS SINGAPORE 820208,HDB,1.4011716,103.9009022,365,PUNGGOL MRT STATION[NE17],walking,walk,86,OPP BLK 272C (65341),walking,walk,117,BLK 272C (65349),walking,walk,230,OPP BLK 201A (65201),walking,walk,,,,
209 PUNGGOL PLACE PUNGGOL CREST SINGAPORE 820209,HDB,1.3989765,103.9009366,304,OPP BLK 201A (65201),walking,walk,330,OPP BLK 272C (65341),walking,walk,360,OPP BLK 103A (65071),walking,walk,,,,,,,,
210 PUNGGOL PLACE PUNGGOL CREST SINGAPORE 820210,HDB,1.3993868,103.9004038,290,OPP BLK 272C (65341),walking,walk,317,BLK 272C (65349),walking,walk,325,OPP BLK 201A (65201),walking,walk,,,,,,,,
273 PUNGGOL PLACE PUNGGOL REGALIA SINGAPORE 820273,HDB,1.4027148,103.9018932,174,PUNGGOL MRT STATION[NE17],walking,walk,116,PUNGGOL TEMP INT (65009),walking,walk,135,BLK 272C (65349),walking,walk,137,OPP BLK 272C (65341),walking,walk,,,,
274 PUNGGOL PLACE PUNGGOL REGALIA SINGAPORE 820274,HDB,1.4030427,103.9027138,162,PUNGGOL MRT STATION[NE17],walking,walk,65,AFT PUNGGOL CTRL (65219),walking,walk,90,PUNGGOL TEMP INT (65009),walking,walk,222,PUNGGOL STN/WATERWAY PT (65251),walking,walk,,,,
275 PUNGGOL PLACE SINGAPORE 820275,HDB,1.401935,103.902089,262,PUNGGOL MRT STATION[NE17],walking,walk,129,OPP BLK 272C (65341),walking,walk,148,BLK 272C (65349),walking,walk,154,OPP BLK 201A (65201),walking,walk,,,,
288 PUNGGOL PLACE PUNGGOL ARCADIA SINGAPORE 820288,HDB,1.4019512,103.9032981,300,PUNGGOL MRT STATION[NE17],walking,walk,130,OPP BLK 201A (65201),walking,walk,146,AFT PUNGGOL CTRL (65219),walking,walk,180,AFT PUNGGOL RD (65209),walking,walk,,,,
289 PUNGGOL PLACE PUNGGOL ARCADIA SINGAPORE 820289,HDB,1.4019817,103.9028823,276,PUNGGOL MRT STATION[NE17],walking,walk,127,OPP BLK 201A (65201),walking,walk,148,AFT PUNGGOL CTRL (65219),walking,walk,204,PUNGGOL TEMP INT (65009),walking,walk,,,,
302 PUNGGOL PLACE CORALINUS SINGAPORE 820302,HDB,1.4048718,103.9045761,76,OPP PUNGGOL VIEW PR SCH (65359),walking,walk,97,BLK 303D (65221),walking,walk,114,PUNGGOL VIEW PR SCH (65351),walking,walk,,,,,,,,
206A PUNGGOL PLACE SINGAPORE 821206,HDB,1.3992254,103.901496,240,OPP BLK 201A (65201),walking,walk,306,OPP BLK 103A (65071),walking,walk,307,AFT PUNGGOL RD (65209),walking,walk,,,,,,,,
207A PUNGGOL PLACE PUNGGOL SAILS SINGAPORE 821207,HDB,1.4002867,103.9010124,456,PUNGGOL MRT STATION[NE17],walking,walk,184,OPP BLK 272C (65341),walking,walk,216,BLK 272C (65349),walking,walk,223,OPP BLK 201A (65201),walking,walk,,,,
208A PUNGGOL PLACE PUNGGOL SAILS SINGAPORE 821208,HDB,1.4014632,103.9007611,340,PUNGGOL MRT STATION[NE17],walking,walk,56,OPP BLK 272C (65341),walking,walk,84,BLK 272C (65349),walking,walk,252,OPP BLK 201A (65201),walking,walk,,,,
209A PUNGGOL PLACE PUNGGOL CREST SINGAPORE 821209,HDB,1.3997307,103.9007321,524,PUNGGOL MRT STATION[NE17],walking,walk,247,OPP BLK 272C (65341),walking,walk,274,OPP BLK 201A (65201),walking,walk,276,BLK 272C (65349),walking,walk,,,,
210A PUNGGOL PLACE PUNGGOL CREST SINGAPORE 821210,HDB,1.4000683,103.9003993,499,PUNGGOL MRT STATION[NE17],walking,walk,216,OPP BLK 272C (65341),walking,walk,243,BLK 272C (65349),walking,walk,295,OPP BLK 201A (65201),walking,walk,,,,
273A PUNGGOL PLACE PUNGGOL REGALIA SINGAPORE 821273,HDB,1.4022843,103.9021043,223,PUNGGOL MRT STATION[NE17],walking,walk,136,OPP BLK 272C (65341),walking,walk,147,BLK 272C (65349),walking,walk,158,PUNGGOL TEMP INT (65009),walking,walk,,,,
274A PUNGGOL PLACE PUNGGOL REGALIA SINGAPORE 821274,HDB,1.4027362,103.9023521,178,PUNGGOL MRT STATION[NE17],walking,walk,108,PUNGGOL TEMP INT (65009),walking,walk,116,AFT PUNGGOL CTRL (65219),walking,walk,181,OPP BLK 272C (65341),walking,walk,,,,
288A PUNGGOL PLACE PUNGGOL ARCADIA SINGAPORE 821288,HDB,1.402378,103.9030395,244,PUNGGOL MRT STATION[NE17],walking,walk,101,AFT PUNGGOL CTRL (65219),walking,walk,171,OPP BLK 201A (65201),walking,walk,172,PUNGGOL TEMP INT (65009),walking,walk,,,,
289A PUNGGOL PLACE PUNGGOL ARCADIA SINGAPORE 821289,HDB,1.4015725,103.9026191,311,PUNGGOL MRT STATION[NE17],walking,walk,89,OPP BLK 201A (65201),walking,walk,193,OPP BLK 272C (65341),walking,walk,193,AFT PUNGGOL RD (65209),walking,walk,,,,
302A PUNGGOL PLACE CORALINUS SINGAPORE 821302,HDB,1.4044236,103.9044442,59,BLK 303D (65221),walking,walk,122,OPP PUNGGOL VIEW PR SCH (65359),walking,walk,166,PUNGGOL VIEW PR SCH (65351),walking,walk,,,,,,,,
306A PUNGGOL PLACE TREELODGE@PUNGGOL SINGAPORE 821306,HDB,1.4060926,103.9053953,77,PUNGGOL VIEW PR SCH (65351),walking,walk,132,OPP PUNGGOL VIEW PR SCH (65359),walking,walk,235,AFT PUNGGOL DR (65489),walking,walk,,,,,,,,
206B PUNGGOL PLACE SINGAPORE 822206,HDB,1.3988371,103.9011269,300,OPP BLK 201A (65201),walking,walk,337,OPP BLK 103A (65071),walking,walk,346,OPP BLK 272C (65341),walking,walk,,,,,,,,
207B PUNGGOL PLACE PUNGGOL SAILS SINGAPORE 822207,HDB,1.4003256,103.9007353,460,PUNGGOL MRT STATION[NE17],walking,walk,181,OPP BLK 272C (65341),walking,walk,210,BLK 272C (65349),walking,walk,252,OPP BLK 201A (65201),walking,walk,,,,
208B PUNGGOL PLACE PUNGGOL SAILS SINGAPORE 822208,HDB,1.4013615,103.9011272,337,PUNGGOL MRT STATION[NE17],walking,walk,68,OPP BLK 272C (65341),walking,walk,103,BLK 272C (65349),walking,walk,210,OPP BLK 201A (65201),walking,walk,,,,
209B PUNGGOL PLACE PUNGGOL CREST SINGAPORE 822209,HDB,1.3997305,103.9009354,519,PUNGGOL MRT STATION[NE17],walking,walk,246,OPP BLK 272C (65341),walking,walk,254,OPP BLK 201A (65201),walking,walk,277,BLK 272C (65349),walking,walk,,,,
210B PUNGGOL PLACE PUNGGOL CREST SINGAPORE 822210,HDB,1.4001862,103.900097,500,PUNGGOL MRT STATION[NE17],walking,walk,216,OPP BLK 272C (65341),walking,walk,238,BLK 272C (65349),walking,walk,324,OPP BLK 201A (65201),walking,walk,,,,
273B PUNGGOL PLACE PUNGGOL REGALIA SINGAPORE 822273,HDB,1.4019601,103.9017788,259,PUNGGOL MRT STATION[NE17],walking,walk,95,OPP BLK 272C (65341),walking,walk,114,BLK 272C (65349),walking,walk,180,OPP BLK 201A (65201),walking,walk,,,,
274B PUNGGOL PLACE PUNGGOL REGALIA SINGAPORE 822274,HDB,1.4031163,103.9022874,135,PUNGGOL MRT STATION[NE17],walking,walk,65,PUNGGOL TEMP INT (65009),walking,walk,109,AFT PUNGGOL CTRL (65219),walking,walk,194,BLK 272C (65349),walking,walk,,,,
288B PUNGGOL PLACE PUNGGOL ARCADIA SINGAPORE 822288,HDB,1.4026753,103.9032975,233,PUNGGOL MRT STATION[NE17],walking,walk,65,AFT PUNGGOL CTRL (65219),walking,walk,163,PUNGGOL TEMP INT (65009),walking,walk,208,OPP BLK 201A (65201),walking,walk,,,,
289B PUNGGOL PLACE PUNGGOL ARCADIA SINGAPORE 822289,HDB,1.4013436,103.903127,352,PUNGGOL MRT STATION[NE17],walking,walk,60,OPP BLK 201A (65201),walking,walk,134,AFT PUNGGOL RD (65209),walking,walk,214,AFT PUNGGOL CTRL (65219),walking,walk,,,,
302B PUNGGOL PLACE CORALINUS SINGAPORE 822302,HDB,1.4043749,103.904784,38,BLK 303D (65221),walking,walk,136,OPP PUNGGOL VIEW PR SCH (65359),walking,walk,156,BLK 298 (65229),walking,walk,,,,,,,,
306B PUNGGOL PLACE TREELODGE@PUNGGOL SINGAPORE 822306,HDB,1.4057923,103.9057772,117,PUNGGOL VIEW PR SCH (65351),walking,walk,161,OPP PUNGGOL VIEW PR SCH (65359),walking,walk,209,BLK 604A (65099),walking,walk,,,,,,,,
207C PUNGGOL PLACE PUNGGOL SAILS SINGAPORE 823207,HDB,1.4006537,103.9003487,441,PUNGGOL MRT STATION[NE17],walking,walk,157,OPP BLK 272C (65341),walking,walk,180,BLK 272C (65349),walking,walk,289,OPP BLK 201A (65201),walking,walk,,,,
208C PUNGGOL PLACE PUNGGOL SAILS SINGAPORE 823208,HDB,1.4009412,103.9011446,382,PUNGGOL MRT STATION[NE17],walking,walk,114,OPP BLK 272C (65341),walking,walk,147,BLK 272C (65349),walking,walk,200,OPP BLK 201A (65201),walking,walk,,,,
209C PUNGGOL PLACE PUNGGOL CREST SINGAPORE 823209,HDB,1.3993095,103.9007923,293,OPP BLK 201A (65201),walking,walk,293,OPP BLK 272C (65341),walking,walk,323,BLK 272C (65349),walking,walk,,,,,,,,
210C PUNGGOL PLACE PUNGGOL CREST SINGAPORE 823210,HDB,1.3996544,103.8999156,562,PUNGGOL MRT STATION[NE17],walking,walk,278,OPP BLK 272C (65341),walking,walk,301,BLK 272C (65349),walking,walk,361,OPP BLK 201A (65201),walking,walk,,,,
273C PUNGGOL PLACE PUNGGOL REGALIA SINGAPORE 823273,HDB,1.402303,103.9012624,233,PUNGGOL MRT STATION[NE17],walking,walk,54,BLK 272C (65349),walking,walk,54,OPP BLK 272C (65341),walking,walk,190,PUNGGOL TEMP INT (65009),walking,walk,,,,
274C PUNGGOL PLACE PUNGGOL REGALIA SINGAPORE 823274,HDB,1.4032584,103.9020087,114,PUNGGOL MRT STATION[NE17],walking,walk,56,PUNGGOL TEMP INT (65009),walking,walk,138,AFT PUNGGOL CTRL (65219),walking,walk,178,BLK 272C (65349),walking,walk,,,,
288C PUNGGOL PLACE PUNGGOL ARCADIA SINGAPORE 823288,HDB,1.4025509,103.9035571,263,PUNGGOL MRT STATION[NE17],walking,walk,86,AFT PUNGGOL CTRL (65219),walking,walk,194,PUNGGOL TEMP INT (65009),walking,walk,202,OPP BLK 201A (65201),walking,walk,,,,
289C PUNGGOL PLACE PUNGGOL ARCADIA SINGAPORE 823289,HDB,1.4015492,103.9035195,351,PUNGGOL MRT STATION[NE17],walking,walk,101,OPP BLK 201A (65201),walking,walk,129,AFT PUNGGOL RD (65209),walking,walk,193,AFT PUNGGOL CTRL (65219),walking,walk,,,,
302C PUNGGOL PLACE CORALINUS SINGAPORE 823302,HDB,1.4047205,103.9049679,78,BLK 303D (65221),walking,walk,112,OPP PUNGGOL VIEW PR SCH (65359),walking,walk,133,PUNGGOL VIEW PR SCH (65351),walking,walk,,,,,,,,
306C PUNGGOL PLACE TREELODGE@PUNGGOL SINGAPORE 823306,HDB,1.4064039,103.9059582,148,PUNGGOL VIEW PR SCH (65351),walking,walk,201,AFT PUNGGOL DR (65489),walking,walk,203,OPP PUNGGOL VIEW PR SCH (65359),walking,walk,,,,,,,,
207D PUNGGOL PLACE PUNGGOL SAILS SINGAPORE 824207,HDB,1.4009465,103.9007084,396,PUNGGOL MRT STATION[NE17],walking,walk,113,OPP BLK 272C (65341),walking,walk,141,BLK 272C (65349),walking,walk,248,OPP BLK 201A (65201),walking,walk,,,,
273D PUNGGOL PLACE PUNGGOL REGALIA SINGAPORE 824273,HDB,1.4025232,103.9012959,209,PUNGGOL MRT STATION[NE17],walking,walk,66,BLK 272C (65349),walking,walk,76,OPP BLK 272C (65341),walking,walk,168,PUNGGOL TEMP INT (65009),walking,walk,,,,
274D PUNGGOL PLACE PUNGGOL REGALIA SINGAPORE 824274,HDB,1.4030337,103.9016885,142,PUNGGOL MRT STATION[NE17],walking,walk,96,PUNGGOL TEMP INT (65009),walking,walk,135,BLK 272C (65349),walking,walk,147,OPP BLK 272C (65341),walking,walk,,,,
289D PUNGGOL PLACE PUNGGOL ARCADIA SINGAPORE 824289,HDB,1.4020391,103.9035327,305,PUNGGOL MRT STATION[NE17],walking,walk,139,AFT PUNGGOL CTRL (65219),walking,walk,149,OPP BLK 201A (65201),walking,walk,180,AFT PUNGGOL RD (65209),walking,walk,,,,
301D PUNGGOL PLACE CORALINUS SINGAPORE 824301,HDB,1.4044481,103.9054296,83,BLK 303D (65221),walking,walk,135,BLK 301A (65091),walking,walk,139,BLK 298 (65229),walking,walk,,,,,,,,
302D PUNGGOL PLACE CORALINUS SINGAPORE 824302,HDB,1.4045843,103.9051987,75,BLK 303D (65221),walking,walk,140,OPP PUNGGOL VIEW PR SCH (65359),walking,walk,154,PUNGGOL VIEW PR SCH (65351),walking,walk,,,,,,,,
303D PUNGGOL PLACE CORALINUS SINGAPORE 824303,HDB,1.4042386,103.905015,32,BLK 303D (65221),walking,walk,130,BLK 298 (65229),walking,walk,160,OPP PUNGGOL VIEW PR SCH (65359),walking,walk,,,,,,,,
211 PUNGGOL WALK PUNGGOL RIPPLES SINGAPORE 820211,HDB,1.401455,103.899421,421,PUNGGOL MRT STATION[NE17],walking,walk,173,BLK 272C (65349),walking,walk,175,OPP BLK 272C (65341),walking,walk,186,OPP BLK 268D (65331),walking,walk,,,,
212 PUNGGOL WALK PUNGGOL WAVES SINGAPORE 820212,HDB,1.3996975,103.8991814,595,PUNGGOL MRT STATION[NE17],walking,walk,316,OPP BLK 272C (65341),walking,walk,332,BLK 272C (65349),walking,walk,359,OPP BLK 268D (65331),walking,walk,,,,
213 PUNGGOL WALK PUNGGOL WAVES SINGAPORE 820213,HDB,1.4000136,103.8986469,600,PUNGGOL MRT STATION[NE17],walking,walk,317,OPP BLK 268D (65331),walking,walk,321,AFT TPE (65439),walking,walk,332,OPP BLK 272C (65341),walking,walk,,,,
271 PUNGGOL WALK PUNGGOL RESIDENCES SINGAPORE 820271,HDB,1.4034317,103.9006272,174,PUNGGOL MRT STATION[NE17],walking,walk,135,BLK 272C (65349),walking,walk,168,OPP BLK 272C (65341),walking,walk,182,PUNGGOL TEMP INT (65009),walking,walk,,,,
272 PUNGGOL WALK PUNGGOL RESIDENCES SINGAPORE 820272,HDB,1.4028511,103.9007655,206,PUNGGOL MRT STATION[NE17],walking,walk,70,BLK 272C (65349),walking,walk,102,OPP BLK 272C (65341),walking,walk,189,PUNGGOL TEMP INT (65009),walking,walk,,,,
308 PUNGGOL WALK WATERWAY TERRACES I SINGAPORE 820308,HDB,1.4076602,103.8999524,178,SUMANG LRT STATION[PW6],walking,walk,162,BEF BLK 264 (65409),walking,walk,186,OPP BLK 264A (65401),walking,walk,266,BLK 310B (65469),walking,walk,,,,
310 PUNGGOL WALK WATERWAY TERRACES II SINGAPORE 820310,HDB,1.4094307,103.9007228,266,SUMANG LRT STATION[PW6],walking,walk,52,BLK 310B (65469),walking,walk,79,BLK 312 CP (65461),walking,walk,223,NIBONG STN EXIT B (65611),walking,walk,,,,
211A PUNGGOL WALK PUNGGOL RIPPLES SINGAPORE 821211,HDB,1.4017598,103.8999443,358,PUNGGOL MRT STATION[NE17],walking,walk,106,BLK 272C (65349),walking,walk,110,OPP BLK 272C (65341),walking,walk,200,OPP BLK 268D (65331),walking,walk,,,,
212A PUNGGOL WALK PUNGGOL WAVES SINGAPORE 821212,HDB,1.3999606,103.8989836,583,PUNGGOL MRT STATION[NE17],walking,walk,308,OPP BLK 272C (65341),walking,walk,320,BLK 272C (65349),walking,walk,327,OPP BLK 268D (65331),walking,walk,,,,
213A PUNGGOL WALK PUNGGOL WAVES SINGAPORE 821213,HDB,1.400309,103.8980751,559,SOO TECK LRT STATION[PW7],walking,walk,250,AFT TPE (65439),walking,walk,275,TWIN WATERFALLS (65431),walking,walk,288,OPP BLK 268D (65331),walking,walk,,,,
271A PUNGGOL WALK PUNGGOL RESIDENCES SINGAPORE 821271,HDB,1.4037454,103.9003189,190,PUNGGOL MRT STATION[NE17],walking,walk,177,BLK 272C (65349),walking,walk,210,OPP BLK 272C (65341),walking,walk,213,PUNGGOL TEMP INT (65009),walking,walk,,,,
272A PUNGGOL WALK PUNGGOL RESIDENCES SINGAPORE 821272,HDB,1.4031453,103.900666,190,PUNGGOL MRT STATION[NE17],walking,walk,103,BLK 272C (65349),walking,walk,136,OPP BLK 272C (65341),walking,walk,186,PUNGGOL TEMP INT (65009),walking,walk,,,,
308A PUNGGOL WALK WATERWAY TERRACES I SINGAPORE 821308,HDB,1.4077543,103.9009062,273,SUMANG LRT STATION[PW6],walking,walk,223,BEF BLK 264 (65409),walking,walk,230,BLK 310B (65469),walking,walk,238,BLK 312 CP (65461),walking,walk,,,,
